4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-4.72E-12,-3.51E-13,-1.44E-13,-1.01E-13,-1.09E-13,-4.8E-14,-7.73E-14,-6.07E-11,-5.75E-12,1.35E-12,-7.07E-12,,1.44E-06,3.44E-07,-5.8799E-07,-1.86E-07,-2.28E-12,-7.20E-13,,,8.94E-07,,-3.87E-07,,-1.50E-12,,2.07E-06,-1.22E-06,-4.72E-12
6.21E-12,1.53E-13,2.33E-13,3.2E-13,3.38E-13,3.97E-13,4.01E-13,-8.67E-11,2.24E-12,4.25E-12,-7.22E-12,,3.16E-06,3.33E-07,-1.81671E-06,-1.55E-07,-7.07E-12,-6.02E-13,,,1.75E-06,,-9.86E-07,,-3.83E-12,,2.67E-06,1.60E-06,6.21E-12
1.29E-12,2.53E-13,3.62E-13,4.03E-13,4.29E-13,4.34E-13,4.17E-13,4.09E-11,3.42E-13,4E-12,4.88E-12,,4.38E-06,5.38E-07,-1.85468E-06,2.14E-09,-7.22E-12,8.00E-15,,,2.46E-06,,-9.26E-07,,-3.60E-12,,1.17E-06,3.32E-07,1.29E-12
1.60E-12,2.94E-13,4.55E-13,4.72E-13,4.82E-13,5.3E-13,5.46E-13,6.87E-12,2.08E-12,7.95E-13,1.41E-12,,2.17E-06,7.32E-07,1.26418E-06,1.15E-07,4.88E-12,4.48E-13,,,1.45E-06,,6.90E-07,,2.67E-12,,1.06E-06,4.12E-07,1.60E-12
3.43E-13,4.23E-13,4.43E-13,4.8E-13,5.09E-13,5.44E-13,5.27E-13,3.22E-12,7.05E-13,-1.73E-13,7.02E-13,,6.47E-07,1.69E-06,3.6406E-07,7.26E-07,1.41E-12,2.82E-12,,,1.17E-06,,5.45E-07,,2.12E-12,,2.27E-06,8.86E-08,3.43E-13
-3.05E-12,3.94E-13,5.71E-13,5.41E-13,5.91E-13,6.1E-13,6.38E-13,1.44E-12,5.5E-13,-2.08E-12,2.05E-14,,5.68E-07,3.14E-06,1.811E-07,1.50E-06,7.02E-13,5.81E-12,,,1.86E-06,,8.42E-07,,3.26E-12,,1.62E-06,-7.85E-07,-3.05E-12
-2.07E-12,5.34E-13,6.01E-13,6.75E-13,6.17E-13,7.07E-13,6.5E-13,1.08E-12,7.22E-13,7.73E-13,4.29E-13,,5.22E-07,2.23E-06,5.8E-09,1.01E-06,2.05E-14,3.94E-12,,,1.38E-06,,5.10E-07,,1.98E-12,,8.90E-07,-5.34E-07,-2.07E-12
-2.18E-12,5.07E-13,4.27E-13,6.99E-13,7.05E-13,7.2E-13,7.57E-13,8.34E-13,7.65E-13,1.56E-11,1.88E-12,,3.62E-07,1.13E-06,1.106E-07,2.61E-07,4.29E-13,1.01E-12,,,7.47E-07,,1.86E-07,,7.22E-13,,1.07E-06,-5.61E-07,-2.18E-12
-9.36E-14,7.81E-13,9.75E-13,7.42E-13,7.18E-13,7.5E-13,7.71E-13,1.14E-12,8.06E-13,-5.82E-12,7.69E-14,,1.02E-06,3.08E-07,4.864E-07,-1.81E-07,1.88E-12,-7.02E-13,,,6.63E-07,,1.53E-07,,5.91E-13,,5.03E-07,-2.46E-08,-9.36E-14
9.36E-13,6.75E-13,1.05E-12,7.26E-13,7.06E-13,7.78E-13,7.57E-13,8.76E-13,8.06E-13,8.85E-12,1.62E-12,,6.40E-07,3.70E-07,1.984E-08,1.69E-07,7.69E-14,6.58E-13,,,5.05E-07,,9.46E-08,,3.68E-13,,6.85E-07,2.42E-07,9.36E-13
2.14E-13,5.89E-13,8.54E-13,8.37E-13,7.79E-13,8.28E-13,7.76E-13,8.63E-13,8.76E-13,1.67E-13,6.78E-13,,7.23E-07,3.46E-07,4.175E-07,1.75E-07,1.62E-12,6.78E-13,,,5.35E-07,,2.96E-07,,1.15E-12,,1.89E-07,5.51E-08,2.14E-13
-9.49E-13,2.64E-13,3.47E-13,4.01E-13,4.39E-13,4E-13,4.17E-13,3.94E-13,4.4E-13,4.43E-12,6.58E-13,,3.46E-07,,1.7481E-07,,6.78E-13,,,,1.51E-06,,-1.10E-07,,-4.19E-13,,4.54E-07,-2.45E-07,-9.49E-13
-5.56E-12,-2.94E-13,-2.69E-13,-1.38E-13,-1.43E-13,-1.28E-13,-1.54E-13,-1.99E-13,-8.45E-14,-5.44E-14,-7.02E-13,,3.70E-07,,1.6945E-07,,6.58E-13,,,,1.77E-06,,5.49E-07,,2.13E-12,,2.39E-06,-1.43E-06,-5.56E-12
-5.61E-12,-3.8E-13,-3.43E-13,-3.04E-13,-2.89E-13,-2.58E-13,-2.33E-13,-2.95E-13,-3.82E-14,1.79E-11,1.01E-12,,3.08E-07,,-1.8074E-07,,-7.02E-13,,,,1.38E-06,,4.88E-07,,1.90E-12,,2.41E-06,-1.45E-06,-5.61E-12
4.16E-11,-4.59E-13,-5.3E-13,-4.52E-13,-3.78E-13,-3.74E-13,-5.34E-13,-4.98E-13,-2.14E-12,3.21E-12,3.94E-12,,1.13E-06,,2.60824E-07,,1.01E-12,,,,3.35E-07,,-1.41E-07,,-5.47E-13,,1.84E-05,1.07E-05,4.16E-11
6.50E-11,-6.07E-13,-5.02E-13,-4.13E-13,-5.34E-13,-4.62E-13,-4.51E-13,-5.07E-13,-8.05E-13,-2.59E-12,5.81E-12,,2.23E-06,,1.01461E-06,,3.94E-12,,,,1.74E-06,,7.06E-07,,2.75E-12,,2.85E-05,1.68E-05,6.50E-11
3.01E-11,-8.87E-13,-5.61E-13,-5.43E-13,-5E-13,-5.14E-13,-3.83E-13,-7.13E-13,7.18E-13,1.5E-12,2.82E-12,,3.14E-06,,1.5027E-06,,5.81E-12,,,,1.65E-06,,6.95E-07,,2.70E-12,,1.35E-05,7.75E-06,3.01E-11
6.77E-12,-8.23E-13,-6.97E-13,-5.9E-13,-5.69E-13,-5.53E-13,-1.03E-12,-3.02E-13,4.37E-13,1.84E-12,4.48E-13,,1.69E-06,,7.2643E-07,,2.82E-12,,,,3.59E-07,,-2.03E-07,,-7.87E-13,,3.48E-06,1.74E-06,6.77E-12
3.99E-12,-9.73E-13,-6.7E-13,-6.21E-13,-6.52E-13,-6.01E-13,7.49E-13,-6.05E-13,-1.34E-13,-4.03E-13,8.00E-15,,7.32E-07,,1.1532E-07,,4.48E-13,,,,5.27E-07,,-3.11E-07,,-1.21E-12,,2.29E-06,1.03E-06,3.99E-12
-6.40E-13,-8.44E-13,-7.08E-13,-7.5E-13,-6.62E-13,-6.71E-13,1.99E-13,-6.87E-13,-4.35E-13,-8.25E-13,-6.02E-13,,5.38E-07,,2.14E-09,,8.00E-15,,,,3.76E-07,,-2.05E-07,,-7.95E-13,,2.97E-07,-1.65E-07,-6.40E-13
-3.17E-13,-8.44E-13,-7.85E-13,-6.98E-13,-7.71E-13,-7.05E-13,-6.44E-13,-7.2E-13,-5.98E-13,-1.12E-12,-7.20E-13,,3.33E-07,,-1.5532E-07,,-6.02E-13,,,,5.10E-07,,-3.04E-07,,-1.18E-12,,4.54E-07,-8.18E-08,-3.17E-13
-2.60E-12,-6.84E-13,-8.73E-13,-8.33E-13,-7.87E-13,-7.9E-13,-6.88E-13,-8.41E-13,-6.58E-13,-7.63E-13,-9.52E-13,,3.44E-07,,-1.8568E-07,,-7.20E-13,,,,5.61E-07,,-3.36E-07,,-1.30E-12,,1.12E-06,-6.71E-07,-2.60E-12
-3.29E-12,-8.98E-13,-9.3E-13,-8.29E-13,-8.35E-13,-8.59E-13,-8.27E-13,-8.96E-13,-1.16E-12,-6.52E-13,-1.12E-12,,1.44E-06,1.57E-06,-5.8799E-07,3.68E-07,-2.28E-12,1.44E-12,,,,,,,,,1.42E-06,-8.50E-07,-3.29E-12
-1.61E-12,-9.03E-13,-9.63E-13,-9.17E-13,-9.67E-13,-8.63E-13,-8.47E-13,-1.05E-12,-8.51E-13,-6.47E-13,-9.62E-13,,4.16E-07,3.12E-06,-2.455E-07,1.34E-06,-9.52E-13,5.21E-12,,,,,,,,,6.92E-07,-4.15E-07,-1.61E-12
-1.50E-12,-1.17E-12,-1.04E-12,-9.69E-13,-9.28E-13,-9.22E-13,-1.03E-12,-1.25E-12,-9.26E-13,-4.99E-13,-1.02E-12,,4.81E-07,2.27E-06,-2.884E-07,1.27E-06,-1.12E-12,4.93E-12,,,,,,,,,6.46E-07,-3.87E-07,-1.50E-12
-1.49E-12,-1.22E-12,-1.05E-12,-1.02E-12,-1E-12,-9.75E-13,-1.01E-12,-7.8E-13,-8.95E-13,-6.55E-13,-1.01E-12,,4.27E-07,2.42E-07,-2.475E-07,-3.37E-08,-9.62E-13,-1.31E-13,,,,,,,,,6.40E-07,-3.84E-07,-1.49E-12
-1.52E-12,-1.22E-12,-1.12E-12,-1.18E-12,-1.03E-12,-9.86E-13,-1.03E-12,-1.07E-12,-1.16E-12,-7.54E-13,-1.11E-12,,4.62E-07,3.01E-06,-2.639E-07,1.68E-06,-1.02E-12,6.52E-12,,,,,,,,,6.54E-07,-3.92E-07,-1.52E-12
-1.48E-12,-1.47E-12,-1.14E-12,-1.14E-12,-1.08E-12,-1.05E-12,-1.01E-12,-1.06E-12,-1.25E-12,-8.44E-13,-1.15E-12,,4.41E-07,2.87E-06,-2.604E-07,1.65E-06,-1.01E-12,6.41E-12,,,,,,,,,6.36E-07,-3.81E-07,-1.48E-12
-1.66E-12,-1.3E-12,-1.13E-12,-1.17E-12,-1.15E-12,-1.15E-12,-7.17E-13,-1.1E-12,-9.55E-13,-3.58E-13,-1.07E-12,,4.83E-07,2.35E-07,-2.852E-07,-1.21E-07,-1.11E-12,-4.68E-13,,,,,,,,,7.12E-07,-4.27E-07,-1.66E-12
-1.62E-12,-1.38E-12,-1.3E-12,-1.25E-12,-1.18E-12,-1.16E-12,-1.02E-12,-1.16E-12,-1.2E-12,-3.01E-12,-1.43E-12,,4.95E-07,5.58E-07,-2.971E-07,-3.26E-07,-1.15E-12,-1.26E-12,,,,,,,,,6.97E-07,-4.18E-07,-1.62E-12
-1.63E-12,-1.48E-12,-1.34E-12,-1.23E-12,-1.24E-12,-1.19E-12,-1.27E-12,-1.18E-12,-1.15E-12,-1.1E-12,-1.28E-12,,5.19E-07,2.33E-07,-2.7524E-07,-1.34E-07,-1.07E-12,-5.21E-13,,,,,,,,,6.99E-07,-4.19E-07,-1.63E-12
-1.70E-12,-1.43E-12,-1.34E-12,-1.29E-12,-1.26E-12,-1.2E-12,-1.34E-12,-1.41E-12,-1.21E-12,-1.09E-12,-1.33E-12,,6.13E-07,4.07E-07,-3.681E-07,-2.40E-07,-1.43E-12,-9.31E-13,,,,,,,,,7.31E-07,-4.38E-07,-1.70E-12
-1.25E-12,-1.05E-12,-9.52E-13,-7.53E-13,-8.4E-13,-8.12E-13,-7.76E-13,-1.01E-12,-1.33E-12,-5.33E-13,-9.31E-13,,5.51E-07,5.70E-07,-3.303E-07,-3.42E-07,-1.28E-12,-1.33E-12,,,,,,,,,5.35E-07,-3.21E-07,-1.25E-12
-6.91E-13,-4.7E-13,-2.91E-13,-3.17E-13,-2.65E-13,-2.74E-13,-2.72E-13,-3.67E-13,-2.2E-12,-5.98E-14,-5.21E-13,,5.70E-07,,-3.421E-07,,-1.33E-12,,,,,,,,,,2.97E-07,-1.78E-07,-6.91E-13
-5.12E-13,-3.31E-13,-2.99E-13,-2.7E-13,-1.36E-13,-1.13E-13,-1.55E-13,-3.1E-13,-1.06E-11,8.94E-14,-1.26E-12,,4.07E-07,,-2.398E-07,,-9.31E-13,,,,,,,,,,2.20E-07,-1.32E-07,-5.12E-13
-3.88E-13,-2.37E-13,-1.47E-13,-6.6E-14,-3.24E-14,-5.12E-14,-7.53E-14,-2.17E-12,-1.11E-12,-4E-13,-4.68E-13,,2.33E-07,,-1.3406E-07,,-5.21E-13,,,,,,,,,,1.71E-07,-9.99E-08,-3.88E-13
-3.76E-13,-1.32E-13,-7.66E-14,7.1E-14,6.52E-15,8.9E-15,3.48E-14,1.83E-13,6.44E-11,-6.58E-14,6.41E-12,,5.58E-07,,-3.2551E-07,,-1.26E-12,,,,,,,,,,1.62E-07,-9.69E-08,-3.76E-13
-7.51E-14,-1.08E-13,6.1E-14,6.52E-14,7.78E-14,6.26E-14,7.09E-14,-1.58E-12,6.53E-11,1.29E-12,6.52E-12,,2.35E-07,,-1.20794E-07,,-4.68E-13,,,,,,,,,,1.91E-07,-1.95E-08,-7.51E-14
-1.47E-13,3.46E-14,2.9E-14,1.1E-13,1.53E-13,1.38E-13,7.16E-13,8.45E-14,-2.69E-12,2.59E-13,-1.31E-13,,2.87E-06,,1.65106E-06,,6.41E-12,,,,,,,,,,1.45E-07,-3.79E-08,-1.47E-13
-1.03E-13,6.44E-14,1.69E-13,1.74E-13,1.98E-13,2.4E-13,-1.29E-12,5.05E-12,4.44E-11,3.57E-13,4.93E-12,,3.01E-06,,1.67647E-06,,6.52E-12,,,,,,,,,,1.29E-07,-2.64E-08,-1.03E-13
-8.40E-15,1.39E-13,1.73E-13,2.42E-13,2.61E-13,2.27E-13,-9.85E-12,1.64E-13,6.05E-11,2.9E-13,5.21E-12,,2.42E-07,,-3.3684E-08,,-1.31E-13,,,,,,,,,,1.46E-07,-2.14E-09,-8.40E-15
3.46E-14,1.86E-13,2.42E-13,2.32E-13,2.7E-13,3.92E-13,-8.48E-12,-1.83E-12,2.29E-11,4.44E-13,1.44E-12,,2.27E-06,,1.26508E-06,,4.93E-12,,,,,,,,,,1.33E-07,8.88E-09,3.46E-14
1.70E-13,,,,,,,,,,,,3.12E-06,,1.34436E-06,,5.21E-12,,,,,,,,,,1.58E-07,4.37E-08,1.70E-13
-3.51E-13,,,,,,,,,,,,1.57E-06,,3.67668E-07,,1.44E-12,,,,,,,,,,1.51E-07,-9.04E-08,-3.51E-13
1.53E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E-07,3.94E-08,1.53E-13
2.53E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.62E-07,6.55E-08,2.53E-13
2.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.50E-07,7.56E-08,2.94E-13
4.23E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.82E-07,1.09E-07,4.23E-13
3.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.74E-07,1.02E-07,3.94E-13
5.34E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E-07,1.38E-07,5.34E-13
5.07E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.18E-07,1.31E-07,5.07E-13
7.81E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.35E-07,2.01E-07,7.81E-13
6.75E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.90E-07,1.74E-07,6.75E-13
5.89E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.53E-07,1.52E-07,5.89E-13
2.64E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.13E-07,6.80E-08,2.64E-13
-2.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E-07,-7.59E-08,-2.94E-13
-3.80E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.63E-07,-9.80E-08,-3.80E-13
-4.59E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.97E-07,-1.18E-07,-4.59E-13
-6.07E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.61E-07,-1.57E-07,-6.07E-13
-8.87E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.82E-07,-2.29E-07,-8.87E-13
-8.23E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E-07,-2.12E-07,-8.23E-13
-9.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.19E-07,-2.51E-07,-9.73E-13
-8.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E-07,-2.18E-07,-8.44E-13
-8.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E-07,-2.18E-07,-8.44E-13
-6.84E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.65E-07,-1.76E-07,-6.84E-13
-8.98E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.86E-07,-2.32E-07,-8.98E-13
-9.03E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.87E-07,-2.32E-07,-9.03E-13
-1.17E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.04E-07,-3.03E-07,-1.17E-12
-1.22E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.23E-07,-3.14E-07,-1.22E-12
-1.22E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.23E-07,-3.14E-07,-1.22E-12
-1.47E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.34E-07,-3.80E-07,-1.47E-12
-1.30E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.56E-07,-3.34E-07,-1.30E-12
-1.38E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.94E-07,-3.57E-07,-1.38E-12
-1.48E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.38E-07,-3.83E-07,-1.48E-12
-1.43E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.15E-07,-3.69E-07,-1.43E-12
-1.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.50E-07,-2.70E-07,-1.05E-12
-4.70E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.02E-07,-1.21E-07,-4.70E-13
-3.31E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.42E-07,-8.51E-08,-3.31E-13
