4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
1.38E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.94E-08,3.55E-08,1.38E-13
2.40E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.03E-07,6.18E-08,2.40E-13
2.27E-13,,,,,,,,,,,,,,,,,,,,,,,,,,9.76E-08,5.85E-08,2.27E-13
3.92E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.68E-07,1.01E-07,3.92E-13
3.91E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.68E-07,1.01E-07,3.91E-13
-7.73E-14,,,,,,,,,,,,,,,,,,,,,,,,,,3.33E-08,-2.00E-08,-7.73E-14
4.01E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-07,1.03E-07,4.01E-13
4.17E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.79E-07,1.07E-07,4.17E-13
5.46E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.35E-07,1.41E-07,5.46E-13
5.27E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.26E-07,1.36E-07,5.27E-13
6.38E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.74E-07,1.64E-07,6.38E-13
6.50E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.79E-07,1.68E-07,6.50E-13
7.57E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E-07,1.95E-07,7.57E-13
7.71E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.31E-07,1.99E-07,7.71E-13
7.57E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E-07,1.95E-07,7.57E-13
7.76E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.34E-07,2.00E-07,7.76E-13
4.17E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.79E-07,1.07E-07,4.17E-13
-1.54E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.96E-08,-3.96E-08,-1.54E-13
-2.33E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-07,-6.01E-08,-2.33E-13
-5.34E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E-07,-1.38E-07,-5.34E-13
-4.51E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E-07,-1.16E-07,-4.51E-13
-3.83E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.65E-07,-9.87E-08,-3.83E-13
-1.03E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.41E-07,-2.65E-07,-1.03E-12
7.49E-13,,,,,,,,,,,,,,,,,,,,,,,,,,7.25E-07,1.93E-07,7.49E-13
1.99E-13,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E-07,5.08E-08,1.99E-13
-6.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.77E-07,-1.66E-07,-6.44E-13
-6.88E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.96E-07,-1.78E-07,-6.88E-13
-8.27E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.55E-07,-2.13E-07,-8.27E-13
-8.47E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.64E-07,-2.18E-07,-8.47E-13
-1.03E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.44E-07,-2.66E-07,-1.03E-12
-1.01E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.34E-07,-2.61E-07,-1.01E-12
-1.03E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.42E-07,-2.65E-07,-1.03E-12
-1.01E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.33E-07,-2.60E-07,-1.01E-12
-7.17E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.78E-07,-1.85E-07,-7.17E-13
-1.02E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.41E-07,-2.64E-07,-1.02E-12
-1.27E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.45E-07,-3.27E-07,-1.27E-12
-1.34E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.74E-07,-3.44E-07,-1.34E-12
-7.76E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.34E-07,-2.00E-07,-7.76E-13
-2.72E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-07,-7.00E-08,-2.72E-13
-1.55E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.69E-08,-4.01E-08,-1.55E-13
-7.53E-14,,,,,,,,,,,,,,,,,,,,,,,,,,4.64E-08,-1.94E-08,-7.53E-14
3.48E-14,,,,,,,,,,,,,,,,,,,,,,,,,,4.71E-08,8.96E-09,3.48E-14
7.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E-08,1.82E-08,7.09E-14
7.16E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.21E-07,1.85E-07,7.16E-13
-1.29E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.74E-07,-3.33E-07,-1.29E-12
-9.85E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.37E-06,-2.54E-06,-9.85E-12
-8.48E-12,,,,,,,,,,,,,,,,,,,,,,,,,,3.96E-06,-2.19E-06,-8.48E-12
-2.77E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.22E-05,-7.15E-06,-2.77E-11
-6.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.61E-05,-1.56E-05,-6.07E-11
-8.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.75E-05,-2.23E-05,-8.67E-11
4.09E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.76E-05,1.06E-05,4.09E-11
6.87E-12,,,,,,,,,,,,,,,,,,,,,,,,,,2.95E-06,1.77E-06,6.87E-12
3.22E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E-06,8.30E-07,3.22E-12
1.44E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.21E-07,3.72E-07,1.44E-12
1.08E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.66E-07,2.79E-07,1.08E-12
8.34E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.59E-07,2.15E-07,8.34E-13
1.14E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.91E-07,2.95E-07,1.14E-12
8.76E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.76E-07,2.26E-07,8.76E-13
8.63E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.70E-07,2.22E-07,8.63E-13
3.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.69E-07,1.02E-07,3.94E-13
-1.99E-13,,,,,,,,,,,,,,,,,,,,,,,,,,8.57E-08,-5.14E-08,-1.99E-13
-2.95E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.27E-07,-7.60E-08,-2.95E-13
-4.98E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.14E-07,-1.29E-07,-4.98E-13
-5.07E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.17E-07,-1.30E-07,-5.07E-13
-7.13E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.06E-07,-1.83E-07,-7.13E-13
-3.02E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.04E-07,-7.78E-08,-3.02E-13
-6.05E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E-07,-1.56E-07,-6.05E-13
-6.87E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.95E-07,-1.77E-07,-6.87E-13
-7.20E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.09E-07,-1.86E-07,-7.20E-13
-8.41E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.62E-07,-2.17E-07,-8.41E-13
-8.96E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.85E-07,-2.31E-07,-8.96E-13
-1.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.51E-07,-2.70E-07,-1.05E-12
-1.25E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.37E-07,-3.22E-07,-1.25E-12
-7.80E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.35E-07,-2.01E-07,-7.80E-13
-1.07E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.60E-07,-2.76E-07,-1.07E-12
-1.06E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.55E-07,-2.73E-07,-1.06E-12
-1.10E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.75E-07,-2.85E-07,-1.10E-12
-1.16E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.98E-07,-2.99E-07,-1.16E-12
-1.18E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.09E-07,-3.05E-07,-1.18E-12
-1.41E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.05E-07,-3.63E-07,-1.41E-12
-1.01E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.34E-07,-2.61E-07,-1.01E-12
-3.67E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-07,-9.46E-08,-3.67E-13
-3.10E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.41E-07,-7.99E-08,-3.10E-13
-2.17E-12,,,,,,,,,,,,,,,,,,,,,,,,,,9.81E-07,-5.62E-07,-2.17E-12
1.83E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-07,4.73E-08,1.83E-13
-1.58E-12,,,,,,,,,,,,,,,,,,,,,,,,,,7.61E-07,-4.06E-07,-1.58E-12
8.45E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-07,2.17E-08,8.45E-14
5.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,2.17E-06,1.30E-06,5.05E-12
1.64E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.29E-07,4.22E-08,1.64E-13
-1.83E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.03E-06,-4.68E-07,-1.83E-12
1.47E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.31E-07,3.79E-07,1.47E-12
-5.75E-12,,,,,,,,,,,,,,,,,,,,,,,,,,2.49E-06,-1.48E-06,-5.75E-12
2.24E-12,,,,,,,,,,,,,,,,,,,,,,,,,,9.65E-07,5.79E-07,2.24E-12
3.42E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.47E-07,8.79E-08,3.42E-13
2.08E-12,,,,,,,,,,,,,,,,,,,,,,,,,,8.96E-07,5.37E-07,2.08E-12
7.05E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.03E-07,1.82E-07,7.05E-13
5.50E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.36E-07,1.42E-07,5.50E-13
7.22E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.10E-07,1.86E-07,7.22E-13
7.65E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.28E-07,1.97E-07,7.65E-13
8.06E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.47E-07,2.08E-07,8.06E-13
8.06E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.46E-07,2.08E-07,8.06E-13
8.76E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.76E-07,2.26E-07,8.76E-13
4.40E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.89E-07,1.14E-07,4.40E-13
-8.45E-14,,,,,,,,,,,,,,,,,,,,,,,,,,6.31E-08,-2.18E-08,-8.45E-14
-3.82E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.45E-07,-9.76E-09,-3.82E-14
-2.14E-12,,,,,,,,,,,,,,,,,,,,,,,,,,9.20E-07,-5.52E-07,-2.14E-12
-8.05E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.46E-07,-2.08E-07,-8.05E-13
7.18E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.37E-07,1.86E-07,7.18E-13
4.37E-13,,,,,,,,,,,,,,,,,,,,,,,,,,5.52E-07,1.13E-07,4.37E-13
-1.34E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.70E-07,-3.46E-08,-1.34E-13
-4.35E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.92E-07,-1.12E-07,-4.35E-13
-5.98E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.81E-07,-1.54E-07,-5.98E-13
-6.58E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.82E-07,-1.69E-07,-6.58E-13
-1.16E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.98E-07,-2.99E-07,-1.16E-12
-8.51E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.65E-07,-2.19E-07,-8.51E-13
-9.26E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.97E-07,-2.38E-07,-9.26E-13
-8.95E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.84E-07,-2.31E-07,-8.95E-13
-1.16E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.97E-07,-2.98E-07,-1.16E-12
-1.25E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.38E-07,-3.23E-07,-1.25E-12
-9.55E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.10E-07,-2.46E-07,-9.55E-13
-1.20E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.13E-07,-3.08E-07,-1.20E-12
-1.15E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.96E-07,-2.98E-07,-1.15E-12
-1.21E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.21E-07,-3.12E-07,-1.21E-12
-1.33E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.73E-07,-3.44E-07,-1.33E-12
-2.20E-12,,,,,,,,,,,,,,,,,,,,,,,,,,9.44E-07,-5.66E-07,-2.20E-12
-1.06E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.55E-06,-2.73E-06,-1.06E-11
-1.11E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.96E-07,-2.86E-07,-1.11E-12
6.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.77E-05,1.66E-05,6.44E-11
6.53E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.81E-05,1.68E-05,6.53E-11
-2.69E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.28E-06,-6.92E-07,-2.69E-12
4.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.91E-05,1.14E-05,4.44E-11
6.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E-05,1.56E-05,6.05E-11
2.29E-11,,,,,,,,,,,,,,,,,,,,,,,,,,9.78E-06,5.87E-06,2.29E-11
1.12E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.78E-07,2.87E-07,1.12E-12
1.35E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.96E-07,3.47E-07,1.35E-12
4.25E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.83E-06,1.10E-06,4.25E-12
4.00E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-06,1.03E-06,4.00E-12
7.95E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.42E-07,2.05E-07,7.95E-13
-1.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.68E-07,-4.46E-08,-1.73E-13
-2.08E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E-06,-5.33E-07,-2.08E-12
7.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.32E-07,1.99E-07,7.73E-13
1.56E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.71E-06,4.03E-06,1.56E-11
-5.82E-12,,,,,,,,,,,,,,,,,,,,,,,,,,3.02E-06,-1.50E-06,-5.82E-12
8.85E-12,,,,,,,,,,,,,,,,,,,,,,,,,,3.81E-06,2.29E-06,8.85E-12
1.67E-13,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E-07,4.30E-08,1.67E-13
4.43E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.91E-06,1.14E-06,4.43E-12
-5.44E-14,,,,,,,,,,,,,,,,,,,,,,,,,,4.62E-08,-1.40E-08,-5.44E-14
1.79E-11,,,,,,,,,,,,,,,,,,,,,,,,,,7.85E-06,4.61E-06,1.79E-11
3.21E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.62E-06,8.29E-07,3.21E-12
-2.59E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.11E-06,-6.69E-07,-2.59E-12
1.50E-12,,,,,,,,,,,,,,,,,,,,,,,,,,9.65E-07,3.85E-07,1.50E-12
1.84E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.15E-06,4.77E-07,1.84E-12
-4.03E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-07,-1.04E-07,-4.03E-13
-8.25E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.55E-07,-2.13E-07,-8.25E-13
-1.12E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.81E-07,-2.88E-07,-1.12E-12
-7.63E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.28E-07,-1.97E-07,-7.63E-13
-6.52E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.81E-07,-1.68E-07,-6.52E-13
-6.47E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.20E-07,-1.66E-07,-6.47E-13
-4.99E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.32E-07,-1.28E-07,-4.99E-13
-6.55E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.51E-07,-1.69E-07,-6.55E-13
-7.54E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.96E-07,-1.94E-07,-7.54E-13
-8.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E-07,-2.18E-07,-8.44E-13
-3.58E-13,,,,,,,,,,,,,,,,,,,,,,,,,,5.87E-07,-9.24E-08,-3.58E-13
-3.01E-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.29E-06,-7.75E-07,-3.01E-12
-1.10E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.74E-07,-2.84E-07,-1.10E-12
-1.09E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.69E-07,-2.82E-07,-1.09E-12
-5.33E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.01E-07,-1.38E-07,-5.33E-13
-5.98E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.23E-07,-1.55E-08,-5.98E-14
8.94E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.01E-07,2.31E-08,8.94E-14
-4.00E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.85E-07,-1.03E-07,-4.00E-13
-6.58E-14,,,,,,,,,,,,,,,,,,,,,,,,,,2.10E-07,-1.71E-08,-6.58E-14
1.29E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.52E-07,3.31E-07,1.29E-12
2.59E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.11E-07,6.67E-08,2.59E-13
3.57E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.54E-07,9.22E-08,3.57E-13
2.90E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.25E-07,7.48E-08,2.90E-13
4.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.91E-07,1.15E-07,4.44E-13
