9.95E-11,9.76E-11,7.23E-11,6.93E-11,1.00E-10,8.91E-11,6.49E-11,1.22E-10,9.57E-11,9.05E-11,9.01E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,4.27E-05,2.56E-05,9.95E-11
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.663,-2.1978,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1204,-2.4722,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5775,-2.7465,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7465,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1202,-2.4721,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6633,-2.198,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2051,-1.923,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.747,-1.6482,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,-1.3734,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8319,-1.0992,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3746,-0.82474,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91621,-0.54973,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.4577,-0.27462,-1.06E-06
1.00E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.30E-05,2.58E-05,1.00E-10
8.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E-05,2.12E-05,8.24E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46007,0.27604,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91914,0.55149,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3782,0.82692,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.837,1.1022,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2959,1.3775,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.756,1.6536,6.41E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2165,1.9299,7.49E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.677,2.2062,8.56E-06
9.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1373,2.4824,9.62E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5981,2.7589,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5982,2.7589,1.07E-05
9.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1373,2.4824,9.62E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6769,2.2061,8.56E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2163,1.9298,7.49E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.756,1.6536,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2959,1.3775,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8371,1.1022,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3782,0.82694,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91907,0.55144,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46011,0.27606,1.07E-06
8.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.72E-05,2.20E-05,8.52E-11
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45769,-0.27462,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91619,-0.54972,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3743,-0.8246,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8317,-1.099,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2888,-1.3733,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7469,-1.6481,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2047,-1.9228,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6632,-2.1979,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1203,-2.4722,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7465,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5771,-2.7463,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,-2.472,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6632,-2.1979,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,-1.9229,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7469,-1.6481,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2891,-1.3735,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8319,-1.0991,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3744,-0.82462,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91622,-0.54973,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45775,-0.27465,-1.06E-06
8.91E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.82E-05,2.29E-05,8.91E-11
1.14E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.88E-05,2.93E-05,1.14E-10
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46005,0.27603,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.919,0.5514,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,0.8268,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2955,1.3773,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7555,1.6533,6.41E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.216,1.9296,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6764,2.2059,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1367,2.482,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5972,2.7583,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5975,2.7585,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1369,2.4821,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6762,2.2057,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2159,1.9295,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6534,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2957,1.3774,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3781,0.82684,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91902,0.55141,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46006,0.27603,1.07E-06
1.03E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.50E-05,2.66E-05,1.03E-10
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45768,-0.27461,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91612,-0.54967,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3742,-0.82452,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8317,-1.099,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2888,-1.3733,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7466,-1.648,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2044,-1.9227,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6628,-2.1977,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1201,-2.4721,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5772,-2.7463,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5773,-2.7464,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1201,-2.472,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6631,-2.1979,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,-1.9229,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7469,-1.6482,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2891,-1.3735,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.832,-1.0992,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3744,-0.82464,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91617,-0.5497,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.4577,-0.27462,-1.06E-06
6.49E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.79E-05,1.67E-05,6.49E-11
7.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.36E-05,2.01E-05,7.81E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45998,0.27599,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91892,0.55135,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,0.82678,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2956,1.3774,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6534,6.41E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.216,1.9296,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6767,2.206,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1369,2.4821,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5976,2.7586,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5975,2.7585,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1369,2.4821,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6764,2.2058,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2159,1.9295,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7555,1.6533,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2955,1.3773,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3781,0.82684,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91907,0.55144,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46005,0.27603,1.07E-06
8.62E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.77E-05,2.22E-05,8.62E-11
-1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45775,-0.27465,-1.07E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91627,-0.54976,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3745,-0.82468,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8319,-1.0992,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,-1.3734,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.747,-1.6482,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.205,-1.923,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6631,-2.1979,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1202,-2.4721,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7464,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7464,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,-2.472,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.663,-2.1978,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,-1.9229,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7468,-1.6481,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2888,-1.3733,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8319,-1.0991,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3743,-0.8246,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91619,-0.54972,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45771,-0.27462,-1.06E-06
1.22E-10,,,,,,,,,,,,,,,,,,,,,,,,,,5.22E-05,3.13E-05,1.22E-10
1.05E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.51E-05,2.70E-05,1.05E-10
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46001,0.27601,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91904,0.55142,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3781,0.82684,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2956,1.3774,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6533,6.41E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.216,1.9296,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.676,2.2056,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1361,2.4817,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5966,2.758,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5968,2.7581,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1364,2.4818,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6758,2.2055,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2154,1.9292,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.755,1.653,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2951,1.377,5.34E-06
4.27E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8365,1.1019,4.27E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3778,0.82668,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91888,0.55133,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45995,0.27597,1.07E-06
1.24E-10,,,,,,,,,,,,,,,,,,,,,,,,,,5.38E-05,3.20E-05,1.24E-10
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45761,-0.27457,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91598,-0.54959,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3741,-0.82446,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8314,-1.0988,-4.26E-06
-5.32E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2884,-1.373,-5.32E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7464,-1.6479,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2044,-1.9226,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6627,-2.1976,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1197,-2.4718,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5767,-2.746,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5768,-2.7461,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1198,-2.4719,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6627,-2.1976,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2044,-1.9226,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7465,-1.6479,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2887,-1.3732,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8316,-1.099,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3742,-0.8245,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91605,-0.54963,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45764,-0.27459,-1.06E-06
9.57E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.11E-05,2.47E-05,9.57E-11
9.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.94E-05,2.37E-05,9.18E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45997,0.27598,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91894,0.55137,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3779,0.82676,3.21E-06
4.27E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8367,1.102,4.27E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2955,1.3773,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6534,6.41E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2155,1.9293,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6762,2.2057,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1365,2.4819,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5971,2.7582,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5971,2.7583,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1364,2.4818,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6762,2.2057,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2161,1.9296,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6534,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2957,1.3774,5.34E-06
4.27E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.27E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,0.82682,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91897,0.55138,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45996,0.27598,1.07E-06
7.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.23E-05,1.91E-05,7.39E-11
-1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45771,-0.27463,-1.07E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91617,-0.5497,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3743,-0.82456,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8317,-1.099,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2889,-1.3733,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7468,-1.6481,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,-1.9229,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.663,-2.1978,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1202,-2.4721,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7464,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5772,-2.7463,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1203,-2.4722,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6633,-2.198,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2051,-1.9231,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7472,-1.6483,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2892,-1.3735,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.832,-1.0992,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3745,-0.82468,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91626,-0.54975,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45774,-0.27464,-1.06E-06
9.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E-05,2.33E-05,9.05E-11
6.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E-05,1.56E-05,6.07E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46004,0.27603,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91902,0.55141,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3781,0.82684,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8369,1.1021,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2957,1.3774,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7556,1.6534,6.41E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.216,1.9296,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6766,2.206,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1366,2.4819,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5973,2.7584,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5974,2.7584,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1367,2.482,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6764,2.2058,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2158,1.9295,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7555,1.6533,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2956,1.3773,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8368,1.1021,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,0.8268,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91893,0.55136,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45998,0.27599,1.07E-06
1.04E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E-05,2.68E-05,1.04E-10
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45768,-0.27461,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91618,-0.54971,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3743,-0.82458,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8318,-1.0991,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,-1.3734,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7469,-1.6482,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2049,-1.9229,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6628,-2.1977,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1202,-2.4721,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5771,-2.7462,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.577,-2.7462,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1197,-2.4718,-9.60E-06
-8.50E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6628,-2.1977,-8.50E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2046,-1.9227,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7467,-1.648,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2888,-1.3733,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8317,-1.099,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3742,-0.82454,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91616,-0.5497,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45769,-0.27461,-1.06E-06
